complaint_id,complaint_text,category,priority,date_received,status
23,The website is extremely slow and keeps timing out. I can't complete any transactions. I need help with this issue.,Technical Support,Medium,2024-10-05,In Progress
24,The account recovery process requires a phone number I no longer have access to. I need help with this issue.,Account,Low,2024-06-20,In Progress
25,I received the wrong item. The order number matches but the product is different. This has been going on for too long.,Delivery,Low,2023-09-28,Closed
26,I cannot update my email address on the account settings page. Expecting a quick resolution.,Account,High,2023-04-06,Closed
27,The auto-renewal charged my card without sending a reminder email first.,Billing,High,2024-04-26,Closed
28,Auto-save is not working and I lost 2 hours of work. Very frustrating. This needs immediate attention.,Technical Support,High,2024-11-18,In Progress
29,Perishable items in my order arrived spoiled due to delayed delivery. Expecting a quick resolution.,Delivery,Medium,2023-12-26,Closed
30,The fragile items in my order were not packed properly and arrived broken. This has been going on for too long.,Delivery,Medium,2023-02-20,Closed
31,The quality assurance on your latest product release is clearly lacking. Please resolve this urgently.,Service Quality,Medium,2023-02-23,Open
32,Video calls keep dropping after 5 minutes. My internet connection is fine. Expecting a quick resolution.,Technical Support,Medium,2024-12-11,Closed
33,The search function on your platform returns irrelevant results or no results at all. Please resolve this urgently.,Technical Support,Medium,2024-05-05,Closed
34,The price increased without any prior notification. This is unfair to loyal customers. Expecting a quick resolution.,Billing,Low,2024-09-22,In Progress
35,The quality of your product has declined since I first purchased it. I need help with this issue.,Service Quality,Medium,2024-09-08,In Progress
36,Perishable items in my order arrived spoiled due to delayed delivery. Please resolve this urgently.,Delivery,Low,2024-08-13,In Progress
37,I cannot change my subscription plan from the account management page. This needs immediate attention.,Account,High,2023-11-18,Closed
38,Your customer service representative was extremely rude and unhelpful during my call. Expecting a quick resolution.,Service Quality,High,2023-09-18,Open
39,The gift wrapping I paid extra for was not included in the delivery. Expecting a quick resolution.,Delivery,Medium,2023-06-20,Open
40,The delivery driver left the package in the rain without any protection. I am very disappointed.,Delivery,Low,2024-04-18,In Progress
41,I received the wrong item. The order number matches but the product is different. Please resolve this urgently.,Delivery,High,2023-03-29,In Progress
42,My device is not connecting to your service. I've followed all troubleshooting steps. Please look into this matter.,Technical Support,Low,2024-07-27,Closed
43,The gift wrapping I paid extra for was not included in the delivery. Please look into this matter.,Delivery,Medium,2024-06-09,In Progress
44,The delivery date was changed twice without notifying me in advance. This has been going on for too long.,Delivery,Medium,2024-04-22,In Progress
45,Half of the items in my order are missing. I only received 2 out of 5 items. Please look into this matter.,Delivery,High,2023-04-12,Open
46,Screen sharing feature freezes during presentations. This is affecting my work. I am very disappointed.,Technical Support,Low,2024-11-25,In Progress
47,The delivery date was changed twice without notifying me in advance. This has been going on for too long.,Delivery,Low,2023-10-03,Closed
48,The gift wrapping I paid extra for was not included in the delivery. This has been going on for too long.,Delivery,High,2024-07-06,In Progress
49,I was transferred between 4 different departments without anyone helping me. Expecting a quick resolution.,Service Quality,High,2024-07-10,Open
50,I received the wrong item. The order number matches but the product is different.,Delivery,Low,2024-03-21,In Progress
51,The delivery window given was 8am-8pm which is way too broad to be useful. I am very disappointed.,Delivery,Low,2024-12-07,In Progress
52,I cannot upload files larger than 5MB even though the limit should be 25MB. I am very disappointed.,Technical Support,High,2023-06-29,In Progress
53,The price increased without any prior notification. This is unfair to loyal customers. Please look into this matter.,Billing,Low,2024-01-19,Closed
54,My account profile information was changed without my knowledge. I need help with this issue.,Account,High,2023-12-02,Closed
55,The calendar integration with my email client stopped working after the update. Please look into this matter.,Technical Support,High,2023-08-06,In Progress
56,The estimated delivery date on the website was inaccurate by over a week. Please resolve this urgently.,Delivery,Medium,2024-01-30,Open
57,I cannot change my subscription plan from the account management page.,Account,Medium,2023-10-02,In Progress
58,I filed a formal complaint two weeks ago and have received no acknowledgment. I am very disappointed.,Service Quality,Medium,2023-02-14,Open
59,The delivery window given was 8am-8pm which is way too broad to be useful. This needs immediate attention.,Delivery,Medium,2023-10-12,In Progress
60,I need an itemized bill breakdown. The total charges seem inflated. Please look into this matter.,Billing,Medium,2023-05-03,Closed
61,I requested an account data export but received an incomplete file. I need help with this issue.,Account,High,2024-02-29,In Progress
62,I ordered express shipping but the package is coming via standard delivery. Please resolve this urgently.,Delivery,High,2023-04-10,Open
63,The technician who visited my home was unprofessional and left without fixing the issue. I am very disappointed.,Service Quality,Low,2023-02-13,In Progress
64,Data sync between desktop and mobile versions is not working properly. I am very disappointed.,Technical Support,Medium,2024-12-20,Closed
65,I cannot add a secondary user to my account as the option is greyed out. This has been going on for too long.,Account,High,2023-11-06,Closed
66,The account merge feature is not working. I have two accounts that need combining.,Account,Medium,2024-04-17,In Progress
67,I filed a formal complaint two weeks ago and have received no acknowledgment. Expecting a quick resolution.,Service Quality,Low,2023-12-01,In Progress
68,My delivery was marked as delivered but I never received it at my address. Expecting a quick resolution.,Delivery,Medium,2023-07-24,In Progress
69,The account merge feature is not working. I have two accounts that need combining.,Account,Low,2024-06-04,Open
70,The service quality has deteriorated significantly over the past few months. Please look into this matter.,Service Quality,Medium,2024-03-28,Open
71,My account shows a balance due but I already paid in full last week. I need help with this issue.,Billing,Medium,2024-08-17,Open
72,Perishable items in my order arrived spoiled due to delayed delivery. This needs immediate attention.,Delivery,Medium,2023-07-28,In Progress
73,The delivery person did not ring the doorbell and left a missed delivery notice. Please resolve this urgently.,Delivery,Low,2024-11-30,In Progress
74,The account recovery process requires a phone number I no longer have access to. Please resolve this urgently.,Account,Medium,2024-08-09,Open
75,I expect better service for the premium price I'm paying for your subscription. Please resolve this urgently.,Service Quality,Medium,2023-05-24,Open
76,Your team promised a callback within 24 hours but nobody called me back. This has been going on for too long.,Service Quality,Medium,2024-04-27,Open
77,The fragile items in my order were not packed properly and arrived broken. Please resolve this urgently.,Delivery,Low,2024-06-24,Closed
78,The promised features in the plan I purchased are not available.,Service Quality,Medium,2023-04-25,Open
79,I've been waiting 3 weeks for an international shipment that was quoted 7 days. Expecting a quick resolution.,Delivery,Low,2024-04-04,In Progress
80,The software update broke several features that were working fine before. I am very disappointed.,Technical Support,Low,2023-06-28,Closed
81,My delivery was marked as delivered but I never received it at my address. Please resolve this urgently.,Delivery,High,2023-06-21,Closed
82,The account recovery process requires a phone number I no longer have access to. I need help with this issue.,Account,High,2023-07-14,In Progress
83,The currency conversion rate applied to my bill is incorrect. This needs immediate attention.,Billing,Medium,2023-10-21,Closed
84,The quality of your product has declined since I first purchased it.,Service Quality,Low,2024-08-16,In Progress
85,I received the wrong item. The order number matches but the product is different. Please resolve this urgently.,Delivery,Medium,2023-11-26,Open
86,I cannot log into my account. The password reset link is not working either. Please resolve this urgently.,Technical Support,High,2024-02-28,Open
87,I expect better service for the premium price I'm paying for your subscription. This needs immediate attention.,Service Quality,Low,2023-05-27,Open
88,Auto-save is not working and I lost 2 hours of work. Very frustrating. I need help with this issue.,Technical Support,Medium,2023-12-05,Closed
89,The technician who visited my home was unprofessional and left without fixing the issue. I need help with this issue.,Service Quality,Medium,2023-09-13,In Progress
90,Your staff provided incorrect information which caused me financial loss. I need help with this issue.,Service Quality,Medium,2024-12-04,Open
91,The delivery window given was 8am-8pm which is way too broad to be useful. I need help with this issue.,Delivery,High,2023-03-05,Closed
92,The package arrived damaged. The contents inside were completely broken. Please look into this matter.,Delivery,High,2024-09-21,Closed
93,My account tier benefits are not reflecting even though I qualify for gold status. This needs immediate attention.,Account,Low,2024-12-26,Closed
94,I filed a formal complaint two weeks ago and have received no acknowledgment. I am very disappointed.,Service Quality,High,2023-01-27,Closed
95,The price increased without any prior notification. This is unfair to loyal customers. This has been going on for too long.,Billing,High,2024-06-14,Open
96,Perishable items in my order arrived spoiled due to delayed delivery. I need help with this issue.,Delivery,Medium,2023-05-19,In Progress
97,The fragile items in my order were not packed properly and arrived broken.,Delivery,Low,2023-02-17,In Progress
98,I cancelled my plan last month but I'm still being billed. Please stop the charges. Expecting a quick resolution.,Billing,Medium,2023-10-11,In Progress
99,I ordered express shipping but the package is coming via standard delivery. Expecting a quick resolution.,Delivery,Low,2023-03-02,Closed
100,I filed a formal complaint two weeks ago and have received no acknowledgment. This has been going on for too long.,Service Quality,Medium,2024-04-20,In Progress
101,The delivery driver left the package in the rain without any protection. I need help with this issue.,Delivery,Medium,2024-10-17,Closed
102,The tracking information hasn't updated in 4 days. Where is my package? I am very disappointed.,Delivery,Medium,2024-11-25,Open
103,I cancelled my plan last month but I'm still being billed. Please stop the charges. Expecting a quick resolution.,Billing,Medium,2024-07-23,Closed
104,My replacement order is taking longer than the original order to ship.,Delivery,Low,2024-09-24,Closed
105,My account was locked without any explanation. I need immediate access.,Account,Medium,2023-03-18,Closed
106,The invoice amount does not match what was quoted by your sales team. I need help with this issue.,Billing,High,2023-09-04,Open
107,The delivery driver left the package in the rain without any protection.,Delivery,Medium,2024-02-11,Open
108,The package arrived damaged. The contents inside were completely broken. Please look into this matter.,Delivery,Medium,2024-12-22,In Progress
109,Perishable items in my order arrived spoiled due to delayed delivery. Please resolve this urgently.,Delivery,Low,2024-03-19,Closed
110,The price increased without any prior notification. This is unfair to loyal customers. This needs immediate attention.,Billing,Low,2023-07-24,Closed
111,The privacy settings on my account are not saving when I try to update them. I need help with this issue.,Account,Medium,2024-11-28,In Progress
112,My package was returned to sender without any attempt to deliver it. I am very disappointed.,Delivery,High,2023-12-02,Closed
113,I cannot change my subscription plan from the account management page. Please look into this matter.,Account,High,2024-12-31,Closed
114,I cannot log into my account. The password reset link is not working either. This needs immediate attention.,Technical Support,Medium,2024-01-08,Closed
115,The export feature generates corrupted files. I cannot open the downloaded reports. This has been going on for too long.,Technical Support,Medium,2024-12-04,Open
116,Your customer service representative was extremely rude and unhelpful during my call. Please look into this matter.,Service Quality,Medium,2023-03-11,Closed
117,My account history and past orders have been wiped clean after the migration. Expecting a quick resolution.,Account,High,2024-07-17,Open
118,I was charged full price during the free trial period. This is a billing error. Please resolve this urgently.,Billing,Medium,2023-12-11,In Progress
119,The promised features in the plan I purchased are not available. Expecting a quick resolution.,Service Quality,Medium,2023-11-18,Open
120,The promotional discount was not applied to my latest invoice. I was promised 20% off. This has been going on for too long.,Billing,High,2024-07-04,Open
121,The technician who visited my home was unprofessional and left without fixing the issue. I need help with this issue.,Service Quality,Medium,2023-01-02,Closed
122,The estimated delivery date on the website was inaccurate by over a week.,Delivery,High,2024-10-09,Closed
123,My payment was deducted but the service was not activated. I need an immediate refund. This has been going on for too long.,Billing,High,2024-06-12,Closed
124,Your customer service representative was extremely rude and unhelpful during my call.,Service Quality,Medium,2023-11-29,In Progress
125,I cannot upload files larger than 5MB even though the limit should be 25MB. I am very disappointed.,Technical Support,Medium,2024-06-05,Closed
126,I was charged for a premium feature that I never opted into. Remove the charge. I need help with this issue.,Billing,High,2024-04-14,Open
127,My account was locked without any explanation. I need immediate access. This needs immediate attention.,Account,Low,2024-11-19,In Progress
128,I've been waiting 3 weeks for an international shipment that was quoted 7 days. I am very disappointed.,Delivery,Low,2023-03-26,Closed
129,My loyalty points disappeared from my account after the system update.,Account,High,2024-01-27,Closed
130,The software update broke several features that were working fine before. Please look into this matter.,Technical Support,High,2024-02-05,In Progress
131,The currency conversion rate applied to my bill is incorrect.,Billing,Medium,2024-04-02,Open
132,The price increased without any prior notification. This is unfair to loyal customers. I am very disappointed.,Billing,Low,2023-06-28,In Progress
133,I cannot upload files larger than 5MB even though the limit should be 25MB. I need help with this issue.,Technical Support,Low,2023-08-26,Closed
134,The chat feature is not loading. I see a blank screen when I click on messages. Please resolve this urgently.,Technical Support,Medium,2024-11-28,Open
135,I cannot log into my account. The password reset link is not working either. Please resolve this urgently.,Technical Support,Medium,2023-07-15,Closed
136,I've been waiting 3 weeks for an international shipment that was quoted 7 days. Expecting a quick resolution.,Delivery,High,2024-02-25,Open
137,The package was left at the wrong address and I had to retrieve it myself. Please look into this matter.,Delivery,Low,2024-04-21,Closed
138,My corporate discount is not reflecting on the latest bill. Please correct this. I am very disappointed.,Billing,High,2024-12-17,Closed
139,The technician who visited my home was unprofessional and left without fixing the issue. This has been going on for too long.,Service Quality,Low,2024-07-28,Closed
140,I received a late payment fee even though I paid on time. Check your records. Expecting a quick resolution.,Billing,High,2023-05-03,Open
141,I need to transfer my account ownership but the process is not documented. Expecting a quick resolution.,Account,Low,2023-08-05,In Progress
142,Half of the items in my order are missing. I only received 2 out of 5 items. Expecting a quick resolution.,Delivery,Medium,2023-02-14,In Progress
143,Two-factor authentication is locked and I cannot access my account at all. Please look into this matter.,Technical Support,Medium,2023-07-21,In Progress
144,The search function on your platform returns irrelevant results or no results at all. I need help with this issue.,Technical Support,High,2024-07-06,Open
145,The privacy settings on my account are not saving when I try to update them.,Account,Medium,2023-07-06,Closed
146,I was transferred between 4 different departments without anyone helping me. This has been going on for too long.,Service Quality,Low,2023-04-09,Open
147,Someone accessed my account without authorization. I suspect a security breach. I am very disappointed.,Account,Medium,2024-12-30,Open
148,My replacement order is taking longer than the original order to ship. This needs immediate attention.,Delivery,Low,2023-12-20,Closed
149,My account was locked without any explanation. I need immediate access. Expecting a quick resolution.,Account,High,2023-03-12,Closed
150,I cannot link my social media accounts to my profile anymore. I am very disappointed.,Account,High,2024-04-09,In Progress
151,I requested an account data export but received an incomplete file. I need help with this issue.,Account,High,2023-04-20,In Progress
152,The app keeps crashing every time I try to open it. I've tried reinstalling but no luck. I need help with this issue.,Technical Support,Medium,2023-09-02,Open
153,I need to transfer my account ownership but the process is not documented. I am very disappointed.,Account,Low,2023-11-02,Closed
154,The invoice amount does not match what was quoted by your sales team. Please look into this matter.,Billing,Medium,2023-03-11,Open
155,The parental controls on my account are not restricting content as configured. Please resolve this urgently.,Account,Medium,2023-04-19,Closed
156,I cannot upload files larger than 5MB even though the limit should be 25MB. Expecting a quick resolution.,Technical Support,Medium,2024-07-29,Open
157,Your response time to emails is terrible. I waited a week for a simple answer. Please look into this matter.,Service Quality,Low,2023-01-17,Closed
158,The estimated delivery date on the website was inaccurate by over a week. This needs immediate attention.,Delivery,Medium,2024-08-19,Closed
159,The website is extremely slow and keeps timing out. I can't complete any transactions. This needs immediate attention.,Technical Support,Low,2024-07-17,Closed
160,The export feature generates corrupted files. I cannot open the downloaded reports.,Technical Support,Medium,2023-01-23,In Progress
161,Half of the items in my order are missing. I only received 2 out of 5 items. This has been going on for too long.,Delivery,High,2024-04-16,Closed
162,I ordered express shipping but the package is coming via standard delivery. I need help with this issue.,Delivery,Medium,2024-10-27,Open
163,I cancelled my plan last month but I'm still being billed. Please stop the charges. Expecting a quick resolution.,Billing,Medium,2024-01-24,Closed
164,My replacement order is taking longer than the original order to ship. This needs immediate attention.,Delivery,High,2023-02-27,Closed
165,The package arrived damaged. The contents inside were completely broken. Please resolve this urgently.,Delivery,Medium,2023-10-14,Closed
166,My delivery was marked as delivered but I never received it at my address. Expecting a quick resolution.,Delivery,High,2023-11-21,Closed
167,My refund has been pending for over 30 days. When will it be processed? This has been going on for too long.,Billing,Medium,2024-03-30,Open
168,The package was left at the wrong address and I had to retrieve it myself. This has been going on for too long.,Delivery,Medium,2023-11-30,Closed
169,Screen sharing feature freezes during presentations. This is affecting my work.,Technical Support,High,2024-11-05,Open
170,The mobile app notifications are not working. I'm missing important alerts.,Technical Support,High,2023-05-10,Open
171,My order shows shipped but the carrier says they never received the package. I am very disappointed.,Delivery,High,2023-04-28,Closed
172,My account was locked without any explanation. I need immediate access. Please resolve this urgently.,Account,High,2024-06-14,Closed
173,I cannot link my social media accounts to my profile anymore. Please resolve this urgently.,Account,Medium,2024-01-30,Closed
174,My delivery was marked as delivered but I never received it at my address. I am very disappointed.,Delivery,Low,2024-07-26,Closed
175,I need to transfer my account ownership but the process is not documented. Please look into this matter.,Account,Medium,2024-07-31,Open
176,My account is showing activity from a location I have never been to. Please look into this matter.,Account,High,2023-04-01,Closed
177,I received the wrong item. The order number matches but the product is different. Please look into this matter.,Delivery,Low,2024-11-21,Closed
178,My corporate discount is not reflecting on the latest bill. Please correct this. I need help with this issue.,Billing,Low,2024-12-11,Open
179,Half of the items in my order are missing. I only received 2 out of 5 items.,Delivery,High,2023-09-08,In Progress
180,The account merge feature is not working. I have two accounts that need combining. Expecting a quick resolution.,Account,Medium,2023-06-23,Closed
181,I filed a formal complaint two weeks ago and have received no acknowledgment. I need help with this issue.,Service Quality,High,2023-11-17,Closed
182,Your support team keeps asking me to repeat the same information every time I call. Please look into this matter.,Service Quality,Medium,2023-10-04,In Progress
183,The price increased without any prior notification. This is unfair to loyal customers. This needs immediate attention.,Billing,High,2024-04-07,Closed
184,The delivery date was changed twice without notifying me in advance. This has been going on for too long.,Delivery,Low,2023-02-22,Closed
185,The delivery date was changed twice without notifying me in advance. Please resolve this urgently.,Delivery,High,2023-04-03,In Progress
186,The price increased without any prior notification. This is unfair to loyal customers. This has been going on for too long.,Billing,Medium,2023-10-06,In Progress
187,I was transferred between 4 different departments without anyone helping me. Please look into this matter.,Service Quality,Low,2023-05-03,Closed
188,The privacy settings on my account are not saving when I try to update them. Please resolve this urgently.,Account,High,2024-02-10,Closed
189,I want to delete my account but there is no option to do so on the website. I am very disappointed.,Account,High,2024-07-02,In Progress
190,I need an itemized bill breakdown. The total charges seem inflated. Please look into this matter.,Billing,Medium,2024-06-29,Closed
191,The delivery date was changed twice without notifying me in advance. Please look into this matter.,Delivery,Medium,2023-01-21,Open
192,My order was supposed to arrive 5 days ago but I still haven't received it. This has been going on for too long.,Delivery,Medium,2024-07-08,In Progress
193,Your customer service representative was extremely rude and unhelpful during my call. This has been going on for too long.,Service Quality,Medium,2024-08-24,Closed
194,I see an unauthorized charge on my account for $49.99. I did not make this purchase. I need help with this issue.,Billing,Medium,2024-07-30,Closed
195,The website is extremely slow and keeps timing out. I can't complete any transactions.,Technical Support,Medium,2023-06-19,Closed
196,Screen sharing feature freezes during presentations. This is affecting my work. I need help with this issue.,Technical Support,Medium,2023-09-14,In Progress
197,I see duplicate transactions on my statement. Both need to be investigated. Please look into this matter.,Billing,High,2024-11-12,Open
198,The account recovery process requires a phone number I no longer have access to. I am very disappointed.,Account,High,2023-02-03,In Progress
199,My account was suspended even though the payment went through successfully. Expecting a quick resolution.,Billing,Medium,2024-03-02,Open
200,The parental controls on my account are not restricting content as configured. Please resolve this urgently.,Account,Medium,2023-03-17,Closed
201,I see an unauthorized charge on my account for $49.99. I did not make this purchase. I need help with this issue.,Billing,High,2024-11-27,In Progress
202,The print function is not working correctly. Pages come out blank or garbled. Please look into this matter.,Technical Support,High,2024-07-13,Open
203,Your response time to emails is terrible. I waited a week for a simple answer. I am very disappointed.,Service Quality,High,2024-11-05,Open
204,Your support team keeps asking me to repeat the same information every time I call. This needs immediate attention.,Service Quality,Medium,2023-05-18,Closed
205,The invoice amount does not match what was quoted by your sales team. I need help with this issue.,Billing,Low,2024-10-14,Closed
206,The technician who visited my home was unprofessional and left without fixing the issue. I am very disappointed.,Service Quality,Medium,2023-07-13,Closed
207,I filed a formal complaint two weeks ago and have received no acknowledgment. Please resolve this urgently.,Service Quality,Medium,2024-08-02,Closed
208,I was charged twice for my subscription this month. Please refund the extra amount. This has been going on for too long.,Billing,High,2023-06-24,In Progress
209,Your staff provided incorrect information which caused me financial loss. Expecting a quick resolution.,Service Quality,Low,2023-05-14,Closed
210,My account was suspended even though the payment went through successfully. This needs immediate attention.,Billing,Medium,2023-01-09,Closed
211,Your support team keeps asking me to repeat the same information every time I call. I am very disappointed.,Service Quality,Medium,2024-03-09,Open
212,The fragile items in my order were not packed properly and arrived broken. This needs immediate attention.,Delivery,Medium,2024-03-01,Open
213,My account was locked without any explanation. I need immediate access. I need help with this issue.,Account,High,2024-12-14,Closed
214,The quality assurance on your latest product release is clearly lacking. This needs immediate attention.,Service Quality,High,2023-07-20,Closed
215,My account shows a balance due but I already paid in full last week.,Billing,High,2023-07-03,Closed
216,My account tier benefits are not reflecting even though I qualify for gold status. Please look into this matter.,Account,Medium,2024-11-17,Open
217,Two-factor authentication is locked and I cannot access my account at all. Expecting a quick resolution.,Technical Support,Medium,2024-03-18,In Progress
218,I cannot upload files larger than 5MB even though the limit should be 25MB.,Technical Support,Low,2023-05-10,Closed
219,I've contacted support 5 times about the same issue and it's still not resolved. Expecting a quick resolution.,Service Quality,High,2023-06-14,Closed
220,I was transferred between 4 different departments without anyone helping me. Please look into this matter.,Service Quality,High,2024-04-11,Open
221,I cannot change my subscription plan from the account management page. This has been going on for too long.,Account,High,2023-08-27,Closed
222,The estimated delivery date on the website was inaccurate by over a week.,Delivery,Low,2024-01-03,Closed
223,Service reliability has been terrible with frequent outages this quarter. Expecting a quick resolution.,Service Quality,High,2024-08-21,Open
224,The app keeps crashing every time I try to open it. I've tried reinstalling but no luck. Please resolve this urgently.,Technical Support,High,2024-12-25,Open
225,The service quality has deteriorated significantly over the past few months. This has been going on for too long.,Service Quality,Medium,2023-12-22,Closed
226,Someone accessed my account without authorization. I suspect a security breach. Expecting a quick resolution.,Account,High,2023-02-02,Open
227,The promised features in the plan I purchased are not available. This has been going on for too long.,Service Quality,Low,2023-07-26,Open
228,The quality of your product has declined since I first purchased it. Please resolve this urgently.,Service Quality,Medium,2023-12-20,Open
229,My loyalty points disappeared from my account after the system update. I need help with this issue.,Account,High,2024-04-07,Open
230,The live chat support agent disconnected without resolving my issue. This needs immediate attention.,Service Quality,High,2023-07-16,Open
231,The API integration keeps returning timeout errors for our application. Expecting a quick resolution.,Technical Support,Medium,2024-04-09,Open
232,I need an itemized bill breakdown. The total charges seem inflated. Please resolve this urgently.,Billing,Medium,2024-04-28,Closed
233,Your response time to emails is terrible. I waited a week for a simple answer. Please look into this matter.,Service Quality,High,2024-06-15,In Progress
234,Someone accessed my account without authorization. I suspect a security breach. This needs immediate attention.,Account,Medium,2024-06-24,Closed
235,My account was suspended even though the payment went through successfully. I am very disappointed.,Billing,High,2024-10-18,Closed
236,The estimated delivery date on the website was inaccurate by over a week. This needs immediate attention.,Delivery,Low,2024-06-25,In Progress
237,The gift wrapping I paid extra for was not included in the delivery.,Delivery,Low,2023-07-28,Closed
238,My account is showing activity from a location I have never been to. I need help with this issue.,Account,Medium,2024-04-30,In Progress
239,My account profile information was changed without my knowledge. I am very disappointed.,Account,Medium,2023-02-16,Closed
240,The package arrived damaged. The contents inside were completely broken. I am very disappointed.,Delivery,High,2024-09-06,Open
241,I cancelled my plan last month but I'm still being billed. Please stop the charges. This has been going on for too long.,Billing,High,2023-08-27,Closed
242,My account was locked without any explanation. I need immediate access. Please resolve this urgently.,Account,Low,2023-08-01,Open
243,I've been waiting 3 weeks for an international shipment that was quoted 7 days. Please look into this matter.,Delivery,Medium,2024-07-25,Closed
244,The price increased without any prior notification. This is unfair to loyal customers. Please resolve this urgently.,Billing,High,2024-06-07,Closed
245,The technician who visited my home was unprofessional and left without fixing the issue.,Service Quality,Medium,2023-10-11,Open
246,I've been waiting 3 weeks for an international shipment that was quoted 7 days. Please look into this matter.,Delivery,Medium,2024-03-22,Closed
247,My account tier benefits are not reflecting even though I qualify for gold status.,Account,Medium,2024-02-04,In Progress
248,The service quality has deteriorated significantly over the past few months.,Service Quality,Low,2024-04-14,Open
249,Your team promised a callback within 24 hours but nobody called me back. Please resolve this urgently.,Service Quality,High,2024-07-20,Closed
250,My order was supposed to arrive 5 days ago but I still haven't received it. I am very disappointed.,Delivery,Medium,2024-07-03,Closed
251,I filed a formal complaint two weeks ago and have received no acknowledgment.,Service Quality,High,2024-11-14,Closed
252,Your response time to emails is terrible. I waited a week for a simple answer. I am very disappointed.,Service Quality,Medium,2024-03-06,In Progress
253,I've been waiting on hold for over 45 minutes. This is unacceptable wait time. This has been going on for too long.,Service Quality,Medium,2024-05-21,In Progress
254,I cannot add a secondary user to my account as the option is greyed out. This has been going on for too long.,Account,High,2024-10-16,In Progress
255,The price increased without any prior notification. This is unfair to loyal customers. Please resolve this urgently.,Billing,Low,2024-06-03,Closed
256,My account was suspended even though the payment went through successfully. This has been going on for too long.,Billing,Medium,2024-03-16,Closed
257,My account profile information was changed without my knowledge. Please look into this matter.,Account,High,2024-09-19,In Progress
258,My refund has been pending for over 30 days. When will it be processed?,Billing,Medium,2024-03-13,Closed
259,The online help documentation is outdated and doesn't match the current interface. Please look into this matter.,Service Quality,Low,2023-07-11,Open
260,Auto-save is not working and I lost 2 hours of work. Very frustrating. Expecting a quick resolution.,Technical Support,High,2023-08-14,Closed
261,My order shows shipped but the carrier says they never received the package. I need help with this issue.,Delivery,High,2024-05-13,Closed
262,I ordered express shipping but the package is coming via standard delivery. Please resolve this urgently.,Delivery,High,2023-05-19,Closed
263,The estimated delivery date on the website was inaccurate by over a week. I need help with this issue.,Delivery,Medium,2023-08-31,In Progress
264,The delivery date was changed twice without notifying me in advance. This needs immediate attention.,Delivery,Low,2023-09-19,Closed
265,The API integration keeps returning timeout errors for our application. This has been going on for too long.,Technical Support,High,2024-05-27,Closed
266,The promised features in the plan I purchased are not available. This needs immediate attention.,Service Quality,Medium,2023-12-19,Open
267,I received the wrong item. The order number matches but the product is different. I need help with this issue.,Delivery,High,2023-10-12,Open
268,My account tier benefits are not reflecting even though I qualify for gold status.,Account,High,2024-04-05,In Progress
269,The package was left at the wrong address and I had to retrieve it myself. This has been going on for too long.,Delivery,Medium,2024-05-26,In Progress
270,I cannot change my subscription plan from the account management page. Please look into this matter.,Account,High,2024-09-11,Closed
271,The account verification process keeps failing even with correct documents. I am very disappointed.,Account,High,2024-05-09,Closed
272,The account verification process keeps failing even with correct documents. Expecting a quick resolution.,Account,High,2024-07-15,Open
